page,english_text,singlish,sinhala,tamil
Contact,"A fintech taking Sri Lanka's micro-merchants from payment acceptance to credit. Built in Colombo by LGO Paytech, with LankaPay and a local lending partner.",,,
Contact,connect@lgotech.lk,,,
Contact,Play Store,,,
Contact,Products,,,
Contact,Merchants,,,
Contact,How it works,,,
Contact,Help centre,,,
Contact,Company,,,
Contact,Contact,,,
Contact,Terms of use,,,
Contact,Privacy policy,,,
Contact,"— operated by LGO, Sri Lanka. Payments by LankaPay (CBSL-licensed). Credit by a local lending partner. ·",,,
Terms,Solutions,,,
Terms,Legal,,,
Terms,Terms of Use,,,
Terms,"These terms govern your use of the youShop and youResto apps, website and hardware. By downloading, installing or using any LGO product, you agree to them. Please read them carefully.",,,
Terms,"Last updated · July 2026 · Colombo, Sri Lanka",,,
Terms,1. Who we are,,,
Terms,"LGO is a merchant software and embedded-credit platform operated in Sri Lanka. Payment acceptance is provided by LankaPay under its CBSL licence, and working-capital credit is provided by Sampath Bank. These partners are responsible for the regulated services they supply; LGO provides the software layer that connects them.",,,
Terms,2. Your account,,,
Terms,"You are responsible for keeping your login credentials, staff accounts and device secure, and for all activity that takes place under your account. You must give accurate business and identity information and keep it up to date. We may suspend accounts that show signs of fraud, misuse or activity that puts other merchants or customers at risk.",,,
Terms,3. Payments & fees,,,
Terms,"The youShop app is free for micro-merchants. Paid plans and add-ons are billed as shown at sign-up. Payment methods such as wallets and cards may attract per-transaction bank charges levied by the payment provider; these are additional to any LGO subscription and should be confirmed before you transact. Settlement times depend on the underlying rail (LankaQR, Visa, LankaPay or card networks).",,,
Terms,4. Credit & lending,,,
Terms,"Working-capital offers are pre-approved and disbursed by Sampath Bank, subject to its eligibility, KYC and repayment terms. An offer appearing in the app is an indication, not a guarantee, and the final terms are set out in your loan agreement with the lender. Repayments may be collected automatically from a share of your daily sales. Borrow responsibly — credit is a commitment, not income.",,,
Terms,5. Hardware,,,
Terms,"Hardware is sold separately and remains subject to the warranty, shipping and installation terms stated at purchase. Any software tier bundled with a device applies for the stated period, after which normal subscription rates apply. Devices must be used only with genuine LGO software.",,,
Terms,6. Acceptable use,,,
Terms,"You agree not to use LGO for unlawful sales, to process payments on behalf of unrelated third parties, or to attempt to reverse-engineer, disrupt or gain unauthorised access to the platform. You are responsible for complying with the tax, consumer and licensing rules that apply to your business.",,,
Terms,7. Data & privacy,,,
Terms,"We process your business and transaction data to run the service, generate your sales history, and — with the lender — assess credit eligibility. We do not sell your data. Customer information you collect through LGO remains yours; you are the controller of it and must handle it lawfully.",,,
Terms,8. Availability & liability,,,
Terms,"We work to keep LGO available and accurate, but the service is provided on an ""as is"" basis. To the extent permitted by law, LGO is not liable for indirect or consequential losses, or for the acts of the payment and credit partners who supply the regulated services. Nothing in these terms limits liability that cannot be excluded by law.",,,
Terms,9. Changes & contact,,,
Terms,We may update these terms as the product and regulation evolve; material changes will be notified in-app or on this page. These terms are governed by the laws of Sri Lanka. Questions? Email,,,
Terms,connect@lgotech.lk,,,
Terms,or call,,,
Terms,Play Store,,,
Terms,Products,,,
Terms,Hardware,,,
Terms,Merchants,,,
Terms,How it works,,,
Terms,Help centre,,,
Terms,Company,,,
Terms,Contact,,,
Terms,Terms of use,,,
Terms,Privacy policy,,,
Terms,"— operated by LGO, Sri Lanka. Payments by LankaPay (CBSL-licensed). Credit by Sampath Bank. ·",,,
Privacy,Solutions,,,
Privacy,Legal,,,
Privacy,Privacy Policy,,,
Privacy,"This policy explains what personal and business data LGO collects, how we use it, and the choices you have. It applies to the youShop and youResto apps, website and hardware.",,,
Privacy,"Last updated · July 2026 · Colombo, Sri Lanka",,,
Privacy,1. Data we collect,,,
Privacy,"We collect the information you give us when you sign up and run your business on LGO — your name and contact details, business details and identity documents, staff accounts, and the products, sales and transactions you record. We also collect technical data such as device type, app version and log data needed to operate the service securely.",,,
Privacy,2. How we use it,,,
Privacy,"We use your data to run youShop, youResto and youQR, process payments through our partners, generate your sales history and reports, provide support, keep the platform secure, and — where you ask for it — assess eligibility for working-capital credit. We may send you service messages about your account.",,,
Privacy,3. Payments & credit partners,,,
Privacy,"Payment acceptance is provided by LankaPay under its CBSL licence and credit by Sampath Bank. When you transact or apply for credit, the relevant data is shared with these partners so they can deliver the regulated service. They act as independent controllers for the services they provide, under their own terms and privacy notices.",,,
Privacy,4. Your customers’ data,,,
Privacy,"Information you collect about your own customers through LGO belongs to you. You are the controller of that data and are responsible for handling it lawfully. LGO processes it only on your behalf to provide the service, and never sells it.",,,
Privacy,5. Sharing & disclosure,,,
Privacy,"We do not sell your personal data. We share it only with the payment and credit partners named above, with service providers who help us run LGO under confidentiality obligations, and where we are legally required to do so by a competent authority.",,,
Privacy,6. Retention,,,
Privacy,"We keep your data for as long as your account is active and for the period afterwards required to meet legal, tax, accounting and anti-fraud obligations. When data is no longer needed, we delete or anonymise it.",,,
Privacy,7. Security,,,
Privacy,"We use encryption, access controls and monitoring to protect your data. No system is perfectly secure, so you must also keep your login credentials, staff accounts and devices safe. Tell us immediately if you suspect unauthorised access.",,,
Privacy,8. Your rights,,,
Privacy,"Subject to applicable law, you can ask to access, correct, export or delete your personal data, and object to certain processing. Some data must be retained to meet legal obligations. To exercise a right, contact us using the details below.",,,
Privacy,9. Changes & contact,,,
Privacy,We may update this policy as the product and regulation evolve; material changes will be notified in-app or on this page. This policy is governed by the laws of Sri Lanka. Questions? Email,,,
Privacy,connect@lgotech.lk,,,
Privacy,or call,,,
Privacy,Play Store,,,
Privacy,Products,,,
Privacy,Hardware,,,
Privacy,Merchants,,,
Privacy,How it works,,,
Privacy,Help centre,,,
Privacy,Company,,,
Privacy,Contact,,,
Privacy,Terms of use,,,
Privacy,Privacy policy,,,
Privacy,"— operated by LGO, Sri Lanka. Payments by LankaPay (CBSL-licensed). Credit by Sampath Bank. ·",,,
